"","keyword","committee","year_hearing","text","timestamp_start","timestamp_end","n"
"1","transgender","Judiciary","2023","center mention menjivar the floor is yours thank you so much share- a good afternoon committee members i'm so excited to present to you sb three some into a bipartisan authored bill that is looking to protect- when individuals legally changed their name. for our transgender individuals or non binary","01:39:41.241","01:39:42.776",118
"2","transgender","Judiciary","2023","still follows them around i'm and i wanna make sure that our therapist or mental health workers do not have that day name following them around because what's happening right now that oftentimes or therapist or transgender non binary or being outed when someone looks up in their name does not match.","01:40:21.615","01:40:22.616",118
"3","transgender","Judiciary","2023","within ten days within ten business days they'll have a response. on the original name. we're seeing a lot of disk. around our transgender. and this is just an added protection for this community i'm very excited to be introduced in this to you and here to provide testimony might he witnesses are dr","01:41:29.983","01:41:31.885",118
"4","transgender","Judiciary","2023","chairman and esteemed members my name is doctor tristen was any i am a licensed clinical psychologist in our state of california. and a civil. copulations i am also a transgender man. it has been a decade since i was granted a confidential court ordered name change and have my original","01:42:11.525","01:42:13.360",118
"5","transgender","Judiciary","2023","fact is directly correlated with my safety as a transgender man my dad nay name assigned at birth being strongly associated with the female identity. making it an immediate source for audi me as transgender. despite this i have been subject to harassment threats lots of job opportunities in income and the","01:42:30.377","01:42:31.078",118
"6","transgender","Judiciary","2023","consent as a result of our state's current practice of detaining transgender and non binary licensees in public record. as a result of these disclosures i have had new clients refuse to work with me or cancel care abruptly. been threatened with violence and sexual harm working with","01:42:46.693","01:42:47.528",118
"7","transgender","Judiciary","2023","environments been subject to extortion attempts and have provisional job offers rescinded after my licensing record was tracked. consumer protection has been cited as the primary opposition to the passage of sb three seventy two yet the act of dead naming transgender and non binary licensees put our lives","01:43:03.176","01:43:04.511",118
"8","transgender","Judiciary","2023","daily basis. and directly affects access to care from ethical hardworking and upstanding professionals increasing the risk of harm to both licensees and consumers. the act of dead naming transgender and non binary licensees in public record is a discriminatory practice. that","01:43:20.460","01:43:21.495",118
"9","transgender","Judiciary","2023","the california psychological association also in support thank you. john driving through the california council community behavioral health agencies proud co sponsor and support thank you . anna packing alley licensed marriage and family therapist working with transgender clients for the last twenty years","01:45:56.850","01:45:59.920",118
"10","transgender","Judiciary","2023","the office intensive protecting license professionals by ensuring transgender and non binary licensees he change the names legally. should have the new identities reflected and be protected from potential peace because of their gender identity. however the board has several concerns with the bill.","01:47:27.908","01:47:29.042",118
"11","transgender","Judiciary","2023","the board is dedicated to protecting consumers first and foremost as well as the safety of our licensees. a more tailored approach focused on transgender or non binary licensees who won the public records to reflect their identity. while preserving the record or history actions and","01:48:52.926","01:48:55.028",118
"12","gender identity","Judiciary","2023","whether it's on gender based gender identity based race based ethnicity language we have in california hundreds of languages we want to make sure everyone feels the freedom to speak on it. so we are very sensitive- to all forms and any forms of bias- to make that straight so. on that basis and also because i","02:18:17.088","02:18:21.459",118
"13","gender identity","Judiciary","2023","think is mitigated by the proof in the pudding of how. that can bill has been implemented that. it is an immutable characteristic your sexual orientation gender identity as you you know as you wish to express it that the does are not things you can necessarily tell from looking a person to say.","02:21:40.058","02:21:42.126",118
"14","woke","Judiciary","2023","association also in opposition. and currently none further in q. thank you- thank you center layered center woke for cheering in my absence of we've been spending time in your committee center will have all all right. so bring it back to committee and then i'll- let me make sure of you accepted the committee's","02:45:23.113","02:45:27.751",118
"15","woke","Judiciary","2023","opposition thank you. mister chair there's no one else to signal that they wish to speak all right let's bring back committee. questions sing center woke yeah i just have one i've i supported this labor nay plated supported today that was interesting point that the chamber brought up in terms of.","06:26:54.791","06:26:56.560",118
"16","woke","Judiciary","2023","evaluation. my ex husband suffocated. our son in the backseat of his vehicle well my son slept. after spending the day at disneyland with this father. according to homicide detectives. my son awoke during this violent act. his first attempt of suffocating mason failed and as my son sat","07:38:38.757","07:38:40.693",118
"17","gender identity","Judiciary","2023","gender identity were 93% less likely to attempt suicide than youth who did not perceive parents as support of. twenty nineteen i would passed a- foster your bill of rights that include certain protections for lgbtq youth- but we- it is- did it and in practice it's not translated- into enough-","11:23:17.389","11:23:19.291",118
"18","gender identity","Judiciary","2023","orientation and gender identity. we continue to hear stories of lgbtq foster youth being traumatized again after being placed in the home is not accepting or firming up their identity. at the analysis highlights this bill is not directed at the beliefs of potential resource families","11:24:36.335","11:24:38.404",118
"19","gender identity","Judiciary","2023","everyone is free to hold any beliefs they choose about sexual orientation or gender identity as long as they don't discriminate harass or threaten foster youth in their care. the foster youth bill of rights already protects foster children from harassment and it's discrimination based on sexual","11:24:54.186","11:24:55.454",118
"20","transgender","Judiciary","2023","than half of transgender and non binary you. california has enacted- legislation to prevent discrimination including the foster care bill of rights. however this trap- this protection is not translated one approving resource families and sb four of seven will strengthen and clarify the existing","11:26:49.768","11:26:50.769",118
"21","gender identity","Judiciary","2023","process. to prevent discrimination that is still occurring today. i'm back care givers my captain can meet the needs of all youth regardless of sexual orientation and gender identity. to become a resource parent there's a set of criteria that one must meet- and if the per cabin perspective care giver","11:27:09.121","11:27:10.422",118
"22","gender identity","Judiciary","2023","of but to both their religious convictions in the presence of stable homes is found in the religious community. great majority of these people of faith hold traditional views on a gender identity and human sexuality how many families of faith are you going to lose if this bill passes. one never","11:29:57.989","11:29:59.624",118
"23","transgender","Judiciary","2023","right. next witness. i am erin friday of our duty a nonpartisan group of thousands of parents protecting kids against transgender ideology i am a democrat who voted for same sex marriage. there are sixty thousand children in foster care in california thirty thousand alone in. los angeles every day","11:30:47.172","11:30:48.106",118
"24","puberty blocker","Judiciary","2023","foster parents to support social transition which has been rejected by england finland and sweden worst if forces foster parents to support a medical pathway that involves. your reversible puberty blockers sterilizing cross sex hormones and mutilating surgeries again europe has stopped these mega li","11:31:33.151","11:31:35.420",118
"25","gender identity","Judiciary","2023","protect all people's rights whether it's on gender based gender identity based race based ethnicity language we have in california hundreds of languages we want to make sure everyone feels the freedom to speak on it. so we are very sensitive- to all forms and any forms of bias- to make that straight so. on","02:18:14.886","02:18:17.022",118
"26","gender identity","Judiciary","2023","community itself that risk- i think is mitigated by the proof in the pudding of how. that can bill has been implemented that. it is an immutable characteristic your sexual orientation gender identity as you you know as you wish to express it that the does are not things you can necessarily tell","02:21:38.590","02:21:39.991",118
"27","woke","Judiciary","2023","he with the california grocers association also in opposition. and currently none further in q. thank you- thank you center layered center woke for cheering in my absence of we've been spending time in your committee center will have all all right. so bring it back to committee and then i'll- let me make sure","02:45:21.444","02:45:23.046",118
"28","woke","Judiciary","2023","california- the situation in opposition thank you. mister chair there's no one else to signal that they wish to speak all right let's bring back committee. questions sing center woke yeah i just have one i've i supported this labor nay plated supported today that was interesting point that the","06:26:52.923","06:26:54.724",118
"29","woke","Judiciary","2023","woke to a pillow. that was soaked with tears. even in my sleep. i knew. that when i open my eyes. it would be the sixth anniversary of my son's death. he was five years two months and two days old when he was murdered. and for years i prayed for a child and finally after five miscarriages god answered","07:34:46.025","07:34:49.996",118
"30","woke","Judiciary","2023","days after the custody evaluation. my ex husband suffocated. our son in the backseat of his vehicle well my son slept. after spending the day at disneyland with this father. according to homicide detectives. my son awoke during this violent act. his first attempt of suffocating mason","07:38:36.288","07:38:38.691",118
"31","gender identity","Judiciary","2023","parental support regarding gender identity were 93% less likely to attempt suicide than youth who did not perceive parents as support of. twenty nineteen i would passed a- foster your bill of rights that include certain protections for lgbtq youth- but we- it is- did it and in practice it's not","11:23:14.186","11:23:17.323",118
"32","gender identity","Judiciary","2023","receive training on sexual orientation and gender identity. we continue to hear stories of lgbtq foster youth being traumatized again after being placed in the home is not accepting or firming up their identity. at the analysis highlights this bill is not directed at the beliefs of","11:24:34.600","11:24:36.268",118
"33","gender identity","Judiciary","2023","religious or otherwise. and everyone is free to hold any beliefs they choose about sexual orientation or gender identity as long as they don't discriminate harass or threaten foster youth in their care. the foster youth bill of rights already protects foster children from harassment and it's","11:24:52.584","11:24:54.119",118
"34","gender identity","Judiciary","2023","orientation. and gender identity. california must do everything it can to follow through on that commitment to ensure that the resource family process is as strong as possible. sb four seven will strengthen the approval process by making it clear that all resource families. must have the","11:25:10.602","11:25:12.337",118
"35","gender identity","Judiciary","2023","any sexual orientation or gender identity. and that they're willing to seek out any and all available resources to help meet those needs should any issues arise. it will also require counties to ensure that resource families are upholding the rights of not only lgbtq youth. all youth regardless of their","11:25:31.623","11:25:32.558",118
"36","transgender","Judiciary","2023","the past year including more than half of transgender and non binary you. california has enacted- legislation to prevent discrimination including the foster care bill of rights. however this trap- this protection is not translated one approving resource families and sb four of seven will strengthen","11:26:48.166","11:26:49.701",118
"37","gender identity","Judiciary","2023","resource family approval process. to prevent discrimination that is still occurring today. i'm back care givers my captain can meet the needs of all youth regardless of sexual orientation and gender identity. to become a resource parent there's a set of criteria that one must meet- and if the","11:27:07.586","11:27:09.054",118
"38","gender identity","Judiciary","2023","to step in and fill this need. of but to both their religious convictions in the presence of stable homes is found in the religious community. great majority of these people of faith hold traditional views on a gender identity and human sexuality how many families of faith are you going to lose if","11:29:52.451","11:29:57.923",118
"39","transgender","Judiciary","2023","assume you oppose. this all right. next witness. i am erin friday of our duty a nonpartisan group of thousands of parents protecting kids against transgender ideology i am a democrat who voted for same sex marriage. there are sixty thousand children in foster care in california thirty thousand","11:30:43.168","11:30:47.105",118
"40","puberty blocker","Judiciary","2023","breath. this bill will force foster parents to support social transition which has been rejected by england finland and sweden worst if forces foster parents to support a medical pathway that involves. your reversible puberty blockers sterilizing cross sex hormones and mutilating surgeries again","11:31:30.549","11:31:33.084",118
"41","gender identity","Judiciary","2023","seven a bill that would clarify. that when it comes to family code section three zero one one specifically when it comes to disputes over custody. but the definition of the health safety and welfare of the child include a parent's affirmation of the child's gender identity. senators currently when parents","00:07:25.344","00:07:27.980",118
"42","transgender","Judiciary","2023","which i use that- i can regularly means transgender gender diverse. and intersex. it parent do not agree on affirming a tgi child's gender identity the family called fails to provide guidance on how judges should consider. the best interest of a tgi child. ab nine five seven was originally","00:07:49.302","00:07:51.103",118
"43","gender identity","Judiciary","2023","stating that a judge must consider a parent's affirmation of the child's gender identity because it's in the best interest of the child to affirm their gender identity. the amendments provide better clarity that i the judge is considering factors. in a custody dispute the health","00:08:26.405","00:08:28.274",118
"44","gender identity","Judiciary","2023","affirmation. i also want to take the opportunity to address some things have been stated about this bill. i've heard from from some folks that are bill does not define what information means. however a plain language reading of the word affirmation that to affirm a child that gender identity is to accept.","00:09:02.875","00:09:06.245",118
"45","gender identity","Judiciary","2023","to consider. custody upon. others have expressed concern that folks who are tolerant of the child gender identity will be incorrectly labeled as not affirming. their child identity . affirmation is not binary just like the health safety and welfare. is not binary. family courts and judges are looking at","00:10:24.223","00:10:25.591",118
"46","gender identity","Judiciary","2023","parents are accepting of their child's gender identity. this issue will not be the thing that tips skilled towards any parent . affirmation of gender identity. looks different for each individual. but the primary modality of gender affirmation. family acceptance and social support. it is also recognition","00:10:45.277","00:10:47.380",118
"47","gender identity","Judiciary","2023","child's gender identity. being antagonistic toward child gender identity dramatically. affects a child's mental well being. conversely and tgi children that experience familial acceptance. suicide attempts are reduced by half. did you are you are already a higher risk of depression. mental health crisis","00:11:28.854","00:11:30.623",118
"48","transgender","Judiciary","2023","this appears. 82% of transgender folks experience suicide ideation and 40% make a suicide attempt in their lifetime. furthermore many tgi children are not safe in their own homes because of a moment. or be of caretaker. this leads many tgi you to run away from home leaving vulnerable to housing is","00:11:50.576","00:11:53.179",118
"49","gender identity","Judiciary","2023","being. ab nine five seven would center the health and welfare of tj youth bike knowledge in that affirmation. of their gender identity is in their best interests. i'd like to now introduce my witnesses jonathan clay with trans youth liberation. annalisa thomas with the bank women's foundation of","00:12:34.153","00:12:44.797",118
"50","transgender","Judiciary","2023","seven would clarify what has already been confirmed by the american academy of pediatrics and world professional association for transgender health. that affirming a child's gender identity is integral to their health safety and welfare . this would mean that parents to accept their children for who","00:14:24.129","00:14:27.166",118
"51","transgender","Judiciary","2023","journey of being of having a transgender child families who often find themselves in a family court not only navigating qasim visitation but also gender journey. this bill will codify that affirming a child's gender is in their best interest- this is simply add gender affirmation to the current list of factors","00:15:35.301","00:15:36.769",118
"52","transgender","Judiciary","2023","just note. as the analysis so articulately defined and as the- author has. pointed out. the challenges for our transgender use and suicide isolation whose side is very real. having worked with a lot of these families we hear all these stories. are and so anything that we can do to affirm. those children and help","00:17:08.727","00:17:09.661",118
