start	end	text
0	2000	You
30000	32000	I
42400	44400	Not up on the right place
49440	55000	The House will come to order members will be at their seats the clerk has opened the roll and you may record your presence
55000	60600	Please rise and give your attention to the house chaplain followed by the Pledge of Allegiance led by representing bow high
62360	64360	Let us pray together
64480	69520	Your father, thank you for these gathered here to help make Kansas an even better place to live
69520	73960	I pray your wisdom to guide every decision made in this chamber today
74480	80760	Your word says this is my commandment that you love one another just as I have loved you
81240	83680	At times this can be difficult
84240	91600	Especially when our personal values conflict with others help us strive to be on the side of what is best for the good people of Kansas
91600	94280	I pray for your protection upon all of our
94520	99720	Representities as they navigate the cold and at times dangers weather visiting our state
99720	103560	I also ask for your protection on the families of each of these
104020	107880	Representities amidst the chaos and confusion gripping our nation
107880	110600	I asked the peace of Almighty God to prevail
111000	120040	Allow stability and civility to be exercised by all struggling with frustration and anxiety in Jesus name. I pray
120600	122600	Amen
133560	135560	Amen
163560	165560	Yes
189320	191880	All members had an opportunity to record their presence
192840	195480	The clerk will close the role and record the attendance
213640	217720	He can recognize his representative McNorton on a point of personal privilege
221880	223880	You
223880	225880	You
225880	227880	You
248920	250920	Thank you, mr. Speaker
251360	253280	members of the body
253280	257280	Standing in front of you today is a group of outstanding young ladies
257680	262760	They have accomplished something that very few athletes have earned the right to say
263400	267080	We are the Kansas 3a state volleyball champions
268400	274680	It coach Sarah Johnson led the team to almost a perfect record this last year winning 46 matches
274800	278320	By only losing one all year to a 5a school
278320	284560	They were undefeated champions in the big eight and big East league not the big eight
284560	287160	But they'd really be doing something then right
288720	293320	Three and oh and mid-season tournaments regional champs and sub-state champions
293920	299560	They also broke the Kansas sports Hall of Fame record for the most team assist in the season
300440	306520	This is a 10th time in program history that silver lake volleyball team has won the state title
307000	310600	With the addition of this latest volleyball state title
310800	318840	This will bring the total of 70 state championships for silver lake teams in their very long history of excellence
319960	326480	Along with the assistant coaches and other players up in the gallery the team standing here today is
326680	330360	Representing all the staff and students of Silver Lake high school
331000	333000	We have Paige Hyman
334000	336000	Paige Windsor
337840	339840	Lexi Newfeld
341200	345840	Jayden Wise unfortunately was sick and couldn't be here today Kylie Haney
347520	349520	Jaylee Whitehead
350200	352200	Karis tighter
352400	354400	Kenley Weber
354600	356440	Lila day
356440	358440	coach Sarah Johnson
359320	363880	Would you please join me in recognizing these outstanding student athletes
380520	386640	Mr. Speaker I ask in my comments be spread across the journal without objection so ordered
388440	390440	I
408800	412360	Be corrected representing chauncey on appointed personal privilege
418440	420440	You
448440	450440	You
450440	452440	You
452440	454440	You
454440	456440	You
456440	458440	You
476520	479360	Ladies and gentlemen of the body
479360	485240	I rise before you to present you Kansas Wesley and collegiate deck a team
486240	489040	Kansas Wesleyan answers its ninth year and collegiate decka
489640	494200	Clégica deck excuse me. It's comprised of 110 universities throughout the world
495480	500720	Institutions worldwide. Excuse me in Kansas. There are nine total deck of chapters from a couple junior colleges to
501360	504400	Kansas Board of Regents schools such as ku which saw state
505280	512040	Decca provides the students a unique competitive advantage before joining the workforce through Decca students and developed a skill set
512720	517800	Professional excuse me a professional writing business research case study in provision
518240	520720	Creating and designing visually appealing slide shows
521480	524760	Professional communications all while enhancing industry specific skills
525480	531920	Over the past five years kw you Decca has the remarkable says excuse me success rate at both state
532320	536480	Competition and international competition typically carrying a team roster of about 12 students
536800	540080	Kansas Wesley University Decca has a 98% of its students
540760	543640	Placing the top 10 in the world in their respective events
546720	550520	All edit the international competition placing the top three is monumental
550520	555560	Kansas Wesleyan University Decca has 33% of its competitors placed third in the world
556200	559720	almost 29% place second in around 36% of their
560360	568240	Competitor their students place in world champions. There's a lot of strategy according to their coach
568960	574360	Dr. P check here. There's a lot of strategy that they use in order to have a success. They've been having I
575640	579760	Think what she wants to emphasize most is the preparation that the students put into this
579760	582760	They put countless hours of work to prepare for their Decca projects
582760	586360	They competed at the state level and then go on to compete on a national level by qualifying
586600	593640	I'd like to recognize those here that have competed and the national competition are part of the Kansas Wesleyan University Decca
594440	595640	team
595640	597640	I'm starting
597760	599760	Courtney Ald
600840	602640	Shelby Davison
602640	604640	Delaney McMullen
604640	606640	play Ganyon
606640	608200	Jordan Grimes
608200	610200	Maddie McVay
610200	613480	And someone that's near and dear to me page Chauncey
614440	620240	I would ask that the body rise and show the appreciation for Ken's Wesleyan University Decca Club
620480	622840	We have multiple world champions here and
637800	640840	I would also like to recognize the family members and
641840	644200	Representatives from the Kansas Wesleyan University in the galley
644200	649960	We could also recognize those and speaker I'd ask that my words be spread throughout the journal about objection. So ordered
670840	672840	You
678120	681120	Reduction of bills and concurrent resolution the clerk will read
683640	688320	I'll spill 2568 by committee on federal and state affairs requested by representing
688320	693680	Will carpenter on behalf of the wildlife and parks Commission and that concerning administrative rules and regulations
693880	699640	HB 2569 by committee on elections requested by representing Wagner and that concerning elections
699720	706560	HB 2570 by committee on taxation requested by representative howerton and at concerning sales taxation
706880	713280	HB 2571 by committee on local government requested by representing prong and at concerning municipalities
714280	721760	HB 2572 by committee on taxation requested by represented Butler on behalf of representative Barrett and at concerning taxation
721960	729600	HB 2573 by committee on federal and state affairs requested by representing Birkamp and that concerning the Kansas Board of Accountants
730120	736200	HB 2574 by joint committee on information technology and at concerning cyber security
744160	750320	And a bill 284 is withdrawn from the committee on interstate cooperation and referred to the committee on health and human services
750440	759480	How's bill 2009 is withdrawn from the committee on interstate cooperation referred to the committee on health and human services
761560	768520	House bill 2010 is withdrawn from the committee on interstate cooperation and referred to the Committee on Health and Human Services
770880	776940	House bill 2328 this withdrawn from the committee on interstate cooperation and referred to committee on health and human services
776940	782720	services. House Bill 2375 is withdrawn from the Committee on Interstate
782720	787980	Cooperation referred to the Committee on Health and Human Services. Messages from
787980	791580	the Senate the clerk will read. The Senate adopts the Commerce Committee report on
791580	799420	HB 2347. Introduction of original motions and house resolutions the clerk will
799420	805300	read. House Resolution 6022 by Representative Estes a resolution
805300	809460	congratulating and committing the members of the 2026 Kansas Teacher of the
809460	811860	Year Team.
835300	863540	On HR 6022 the Speaker
863540	873900	recognize Representative Estes for a motion to adopt the resolution. Good
873900	878840	morning body across Kansas teachers get up early in the morning and head to
878840	884540	school to work with our children our students and one could argue that these
884540	889460	students are very most important handsons as they represent our future. Today we
889460	893500	celebrate those who have gone above and beyond to impact our students. The
893500	897340	teacher's heart is very special and we appreciate all they do to support our
897340	903200	children. We congratulate Rachel Marrow the Alletha Public Schools 2026
903200	908760	Kansas Teacher of the Year. We also congratulate our regional Kansas
